index,Neighborhood,OccurMonth_Year,Animal Cruelty Offenses,Arson,Assault Offenses,Bribery,Burglary,Counterfeiting/Forgery,Drug/Narcotic Offenses,Embezzlement,Extortion/Blackmail,Fraud Offenses,Gambling Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Larceny Offenses,Motor Vehicle Theft,Pornography/Obscene Material,Prostitution Offenses,Robbery,Sex Offenses,Stolen Property Offenses,Vandalism,Weapon Law Violations,Total_Offenses,avg_home_price,median_home_price,average_cost_per_foot,days_on_market,homes_sold_2017,condo_sales,distressed_property_sales,year_built,adj_popn,adj_popn_pe_sq_mi,median_age,median_household_income,home_ownership,married,divorced,widowed,seperated,never_married,popn_bachelors_degree_perc,popn_graduate_degree,median_monthly_housing_expenses,people_below_poverty,unemployed_perc,english_perc,perc_households_children,x,perc_diff_county_last_year,perc_diff_state_last_year,total_newcomers_perc,x.1,parks_perc,x.2,commute_by_public_transit,commute_by_bike_perc,commute_by_walking_perc,commute_biking_walking_perc,miles_bike_route_per_sqkm,walk_score,Matched_Names,Unnamed: 0,dates,Neighborhoods,Average Radiance Per Pixel Per month
10,ALAMEDA,2016-05,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3416.0,2016-05-01,ALAMEDA,12.578641675954156
11,ALAMEDA,2016-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3538.0,2016-06-01,ALAMEDA,11.473602041957866
12,ALAMEDA,2016-07,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3660.0,2016-07-01,ALAMEDA,11.475358505147838
13,ALAMEDA,2016-08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3782.0,2016-08-01,ALAMEDA,11.873837975418535
14,ALAMEDA,2016-09,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,3904.0,2016-09-01,ALAMEDA,11.83481165584898
15,ALAMEDA,2016-10,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4026.0,2016-10-01,ALAMEDA,12.63007279150682
16,ALAMEDA,2016-11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4148.0,2016-11-01,ALAMEDA,14.029167468225292
17,ALAMEDA,2016-12,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4270.0,2016-12-01,ALAMEDA,14.538123032648306
18,ALAMEDA,2017-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4392.0,2017-01-01,ALAMEDA,17.50330958227264
19,ALAMEDA,2017-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,709588.0,685000.0,257.0,23.0,82.0,0.0,1.0,1928.0,5622.0,9421.0,41.0,105242.0,78.4,55.0,10.6,3.3,0.6,30.4,38.5,33.6,1496.0,6.9,5.1,92.9,36.0,86.4,0.4,4.2,5.4,0.0,0.0,13,8.6,12.2,3.3,15.5,1.24,65.0,ALAMEDA,4514.0,2017-02-01,ALAMEDA,14.611420133069595
